1 ; 1 ; 21.01.2014 ; 0 ; 1000000 ; 0.01
2 ; 1 ; 21.01.2014 ; 1000001 ; 5000000 ; 15
3 ; 1 ; 21.01.2014 ; 5000001 ; 15000000 ; 41
4 ; 1 ; 21.01.2014 ; 15000001 ; 999999999999 ; 45
5 ; 1 ; 18.02.2014 ; 0 ; 1000000 ; 0.01
6 ; 1 ; 18.02.2014 ; 1000001 ; 5000000 ; 15
7 ; 1 ; 18.02.2014 ; 5000001 ; 15000000 ; 39
8 ; 1 ; 18.02.2014 ; 15000001 ; 999999999999 ; 43
9 ; 1 ; 28.02.2014 ; 0 ; 1000000 ; 0.01
10 ; 1 ; 28.02.2014 ; 1000001 ; 5000000 ; 15
11 ; 1 ; 28.02.2014 ; 5000001 ; 15000000 ; 40
12 ; 1 ; 28.02.2014 ; 15000001 ; 50000000 ; 40.5
13 ; 1 ; 28.02.2014 ; 50000001 ; 999999999999 ; 41
14 ; 1 ; 31.03.2014 ; 0 ; 1000000 ; 0.01
15 ; 1 ; 31.03.2014 ; 1000001 ; 5000000 ; 15
16 ; 1 ; 31.03.2014 ; 5000001 ; 15000000 ; 32
17 ; 1 ; 31.03.2014 ; 15000001 ; 50000000 ; 37
18 ; 1 ; 31.03.2014 ; 50000001 ; 999999999999 ; 38
19 ; 1 ; 16.04.2014 ; 0 ; 1000000 ; 0.01
20 ; 1 ; 16.04.2014 ; 1000001 ; 5000000 ; 14
21 ; 1 ; 16.04.2014 ; 5000001 ; 15000000 ; 31
22 ; 1 ; 16.04.2014 ; 15000001 ; 50000000 ; 36
23 ; 1 ; 16.04.2014 ; 50000001 ; 999999999999 ; 37
24 ; 1 ; 19.05.2014 ; 0 ; 1000000 ; 0.01
25 ; 1 ; 19.05.2014 ; 1000001 ; 5000000 ; 13
26 ; 1 ; 19.05.2014 ; 5000001 ; 15000000 ; 30
27 ; 1 ; 19.05.2014 ; 15000001 ; 50000000 ; 35
28 ; 1 ; 19.05.2014 ; 50000001 ; 999999999999 ; 36
29 ; 1 ; 16.06.2014 ; 0 ; 1000000 ; 0.01
30 ; 1 ; 16.06.2014 ; 1000001 ; 5000000 ; 13
31 ; 1 ; 16.06.2014 ; 5000001 ; 15000000 ; 30
32 ; 1 ; 16.06.2014 ; 15000001 ; 50000000 ; 34
33 ; 1 ; 16.06.2014 ; 50000001 ; 999999999999 ; 35
34 ; 1 ; 30.06.2014 ; 0 ; 1000000 ; 0.01
35 ; 1 ; 30.06.2014 ; 1000001 ; 5000000 ; 14
36 ; 1 ; 30.06.2014 ; 5000001 ; 15000000 ; 29
37 ; 1 ; 30.06.2014 ; 15000001 ; 50000000 ; 33
38 ; 1 ; 30.06.2014 ; 50000001 ; 999999999999 ; 34
39 ; 1 ; 16.07.2014 ; 0 ; 1000000 ; 0.01
40 ; 1 ; 16.07.2014 ; 1000001 ; 5000000 ; 13
41 ; 1 ; 16.07.2014 ; 5000001 ; 15000000 ; 28
42 ; 1 ; 16.07.2014 ; 15000001 ; 50000000 ; 32
43 ; 1 ; 16.07.2014 ; 50000001 ; 999999999999 ; 33
44 ; 1 ; 04.08.2014 ; 0 ; 1000000 ; 0.01
45 ; 1 ; 04.08.2014 ; 1000001 ; 5000000 ; 12
46 ; 1 ; 04.08.2014 ; 5000001 ; 15000000 ; 27
47 ; 1 ; 04.08.2014 ; 15000001 ; 50000000 ; 30
48 ; 1 ; 04.08.2014 ; 50000001 ; 999999999999 ; 31
49 ; 1 ; 13.08.2014 ; 0 ; 1000000 ; 0.01
50 ; 1 ; 13.08.2014 ; 1000001 ; 5000000 ; 11.5
51 ; 1 ; 13.08.2014 ; 5000001 ; 15000000 ; 26.5
52 ; 1 ; 13.08.2014 ; 15000001 ; 50000000 ; 29.5
53 ; 1 ; 13.08.2014 ; 50000001 ; 999999999999 ; 30.5
54 ; 1 ; 17.10.2014 ; 0 ; 1000000 ; 0.01
55 ; 1 ; 17.10.2014 ; 1000001 ; 5000000 ; 11.5
56 ; 1 ; 17.10.2014 ; 5000001 ; 15000000 ; 26.5
57 ; 1 ; 17.10.2014 ; 15000001 ; 50000000 ; 28.5
58 ; 1 ; 17.10.2014 ; 50000001 ; 999999999999 ; 29.5
59 ; 1 ; 04.11.2014 ; 0 ; 1000000 ; 0.01
60 ; 1 ; 04.11.2014 ; 1000001 ; 5000000 ; 11.5
61 ; 1 ; 04.11.2014 ; 5000001 ; 15000000 ; 25
62 ; 1 ; 04.11.2014 ; 15000001 ; 50000000 ; 28
63 ; 1 ; 04.11.2014 ; 50000001 ; 999999999999 ; 29
64 ; 1 ; 20.12.2014 ; 0 ; 1000000 ; 0.01
65 ; 1 ; 20.12.2014 ; 1000001 ; 5000000 ; 11.5
66 ; 1 ; 20.12.2014 ; 5000001 ; 15000000 ; 30
67 ; 1 ; 20.12.2014 ; 15000001 ; 50000000 ; 40
68 ; 1 ; 20.12.2014 ; 50000001 ; 999999999999 ; 45
69 ; 1 ; 09.01.2015 ; 0 ; 1000000 ; 0.01
70 ; 1 ; 09.01.2015 ; 1000001 ; 5000000 ; 12
71 ; 1 ; 09.01.2015 ; 5000001 ; 15000000 ; 30
72 ; 1 ; 09.01.2015 ; 15000001 ; 50000000 ; 40
73 ; 1 ; 09.01.2015 ; 50000001 ; 999999999999 ; 45
74 ; 1 ; 02.02.2015 ; 0 ; 1000000 ; 0.01
75 ; 1 ; 02.02.2015 ; 1000001 ; 5000000 ; 12
76 ; 1 ; 02.02.2015 ; 5000001 ; 15000000 ; 30
