92 ; 6293 ; 711 ; 30.47 ; ДтЕвро5
93 ; 6371 ; 711 ; 33.42 ; ДтЕвро5
94 ; 6402 ; 711 ; 25.7 ; ДтЕвро5
95 ; 6443 ; 711 ; 34.72 ; ДтЕвро5
96 ; 6493 ; 711 ; 41.1 ; ДтЕвро5
97 ; 6524 ; 711 ; 15 ; ДтЕвро5
98 ; 6547 ; 711 ; 20 ; ДтЕвро5
99 ; 6560 ; 711 ; 30 ; ДтЕвро5
100 ; 6576 ; 711 ; 27.3 ; ДтЕвро5
101 ; 6613 ; 711 ; 30 ; ДтЕвро5
102 ; 6638 ; 711 ; 47.34 ; ДтЕвро5
103 ; 6660 ; 711 ; 30 ; ДтЕвро5
104 ; 6696 ; 711 ; 34.76 ; ДтЕвро5
105 ; 6762 ; 711 ; 36 ; ДтЕвро5
106 ; 6851 ; 711 ; 30 ; ДтЕвро5
107 ; 6886 ; 711 ; 29.62 ; ДтЕвро5
108 ; 6948 ; 711 ; 0.5 ; CastrolDta
109 ; 6965 ; 711 ; 43.91 ; ДтЕвро5
110 ; 7071 ; 711 ; 43.32 ; ДтЕвро5
111 ; 7167 ; 711 ; 40.66 ; ДтЕвро5
112 ; 7225 ; 711 ; 38.6 ; ДтЕвро5
113 ; 7323 ; 711 ; 40 ; ДтЕвро5
114 ; 7379 ; 711 ; 39.39 ; ДтЕвро5
115 ; 7476 ; 711 ; 42.29 ; ДтЕвро5
116 ; 7554 ; 711 ; 38.75 ; ДтЕвро5
117 ; 7657 ; 711 ; 38.52 ; ДтЕвро5
118 ; 7740 ; 711 ; 44.77 ; ДтЕвро5
119 ; 7798 ; 711 ; 35.93 ; ДтЕвро5
120 ; 7900 ; 711 ; 33 ; ДтЕвро5
121 ; 7974 ; 711 ; 42 ; ДтЕвро5
122 ; 8042 ; 711 ; 34.67 ; ДтЕвро5
123 ; 8103 ; 711 ; 34 ; ДтЕвро5
124 ; 8144 ; 711 ; 33.3 ; ДтЕвро5
125 ; 8174 ; 711 ; 36.6 ; ДтЕвро5
126 ; 8220 ; 711 ; 43.8 ; ДтЕвро5
127 ; 8282 ; 711 ; 47.32 ; ДтЕвро5
128 ; 8339 ; 711 ; 39.98 ; ДтЕвро5
129 ; 8377 ; 711 ; 45.27 ; ДтЕвро5
130 ; 8417 ; 711 ; 43 ; ДтЕвро5
131 ; 8492 ; 711 ; 38.83 ; ДтЕвро5
132 ; 8597 ; 711 ; 30 ; ДтЕвро5
133 ; 8659 ; 711 ; 30 ; ДтЕвро5
134 ; 8709 ; 711 ; 35 ; ДтЕвро5
135 ; 8840 ; 711 ; 35 ; ДтЕвро5
136 ; 8920 ; 711 ; 34 ; ДтЕвро5
137 ; 9001 ; 711 ; 43.47 ; ДтЕвро5
138 ; 9057 ; 711 ; 0.5 ; CastrolDta
139 ; 9099 ; 711 ; 45 ; ДтЕвро5
140 ; 9188 ; 711 ; 40 ; ДтЕвро5
141 ; 9287 ; 711 ; 44.29 ; ДтЕвро5
142 ; 9392 ; 711 ; 40 ; ДтЕвро5
143 ; 9450 ; 711 ; 37.42 ; ДтЕвро5
144 ; 9583 ; 711 ; 40 ; ДтЕвро5
145 ; 9714 ; 711 ; 53.14 ; ДтЕвро5
146 ; 9783 ; 711 ; 35 ; ДтЕвро5
147 ; 9853 ; 711 ; 30 ; ДтЕвро5
148 ; 9885 ; 716 ; 48.23 ; ДтЕвро5
149 ; 9976 ; 716 ; 40 ; ДтЕвро5
150 ; 10061 ; 711 ; 20 ; ДтЕвро5
151 ; 10066 ; 716 ; 40 ; ДтЕвро5
